Week,Plot ID,Treatment,Stressor_app,Replicate,Block,Light_level,Disturbance_level,Shoot_density,Day0_density,Leaf_surface_area,Day0_surface_area,Avg_LSA,Day0_Avg_LSA,Total_invert_abundance,Day0_invert,Crustacean_abundance,Day0_crustacean
4,20,OutPhase,3,5,5,50,high,56,68,1683.136,1508.414163,30.056,22.18256124,8,3,8,3
4,21,InPhase,2,6,6,0,high,76,128,3086.2992,4864.47104,40.6092,38.00368,2,1,2,1
4,22,StaticStatic,1,6,6,25,high,64,84,2428.3648,1982.1312,37.9432,23.5968,2,1,2,0
4,23,Control,0,6,6,100,none,212,176,9703.04496,9550.66464,45.76908,54.26514,1,1,1,1
4,24,OutPhase,3,6,6,50,high,68,76,2051.2064,2169.40784,30.1648,28.54484,0,1,0,1
5,1,StaticStatic,1,1,1,25,high,84,100,3885.17472,3449.425,46.25208,34.49424997,0,3,0,3
5,2,InPhase,2,1,1,0,high,76,152,2814.631736,5646.357818,37.03462808,37.14709089,1,2,0,2
5,3,OutPhase,3,1,1,50,high,68,88,2269.14912,3369.408,33.36984,38.28872727,0,2,0,2
5,4,Control,0,1,1,100,none,28,28,737.7216,624.96,26.3472,22.32,1,2,1,2
5,5,Control,0,2,2,100,none,152,176,5958.1872,8144.37888,39.1986,46.27488,2,4,2,4
5,6,OutPhase,3,2,2,50,high,60,120,2884.992,9795.4272,48.0832,81.62856,2,31,2,31
5,7,StaticStatic,1,2,2,25,high,96,184,4761.63072,10469.75207,49.60032,56.9008265,4,15,4,15
5,8,InPhase,2,2,2,0,high,48,116,2230.475107,7314.16192,46.46823143,63.05312,6,19,6,19
5,9,InPhase,2,3,3,0,high,52,100,1974.455127,5389.208,37.97029091,53.89208,8,21,8,21
5,10,Control,0,3,3,100,none,120,96,6217.344,4546.7136,51.8112,47.3616,2,7,2,7
5,11,OutPhase,3,3,3,50,high,76,160,2499.50016,9341.568,32.88816,58.3848,3,18,3,18
5,12,StaticStatic,1,3,3,25,high,108,132,5395.130182,5069.26992,49.95490905,38.40356,3,3,3,3
5,13,StaticStatic,1,4,4,25,high,44,96,1738.487273,4994.154667,39.51107436,52.02244448,0,4,0,4
5,14,Control,0,4,4,100,none,84,56,2948.736,2438.00368,35.10400001,43.53578,1,6,1,5
5,15,OutPhase,3,4,4,50,high,8,40,145.3473058,1129.44,18.16841321,28.236,0,2,0,2
5,16,InPhase,2,4,4,0,high,4,60,73.656,1928.307692,18.414,32.13846157,1,3,1,3
5,17,StaticStatic,1,5,5,25,high,64,72,3001.809455,2747.278125,46.90327271,38.15664063,2,1,2,1
5,18,Control,0,5,5,100,none,148,132,6102.18504,7796.448,41.23098,59.064,0,2,0,2
5,19,InPhase,2,5,5,0,high,68,108,2280.448,3960.330604,33.536,36.66972784,1,3,1,3
5,20,OutPhase,3,5,5,50,high,48,68,1325.22843,1508.414163,27.60892564,22.18256124,0,3,0,3
5,21,InPhase,2,6,6,0,high,72,128,1720.6272,4864.47104,23.8976,38.00368,1,1,1,1
5,22,StaticStatic,1,6,6,25,high,68,84,1343.972231,1982.1312,19.76429754,23.5968,0,1,0,0
5,23,Control,0,6,6,100,none,212,176,11960.58446,9550.66464,56.41785118,54.26514,2,1,2,1
5,24,OutPhase,3,6,6,50,high,52,76,1152.66528,2169.40784,22.16664,28.54484,2,1,2,1
6,1,StaticStatic,1,1,1,25,high,72,100,3532.2336,3449.425,49.0588,34.49424997,0,3,0,3
6,2,InPhase,2,1,1,0,high,76,152,2956.419,5646.357818,38.90025,37.14709089,1,2,1,2
6,3,OutPhase,3,1,1,50,high,56,88,2007.917488,3369.408,35.8556694,38.28872727,0,2,0,2
6,4,Control,0,1,1,100,none,32,28,818.7851524,624.96,25.58703602,22.32,1,2,1,2
6,5,Control,0,2,2,100,none,172,176,5143.453884,8144.37888,29.90380165,46.27488,1,4,1,4
6,6,OutPhase,3,2,2,50,high,48,120,2101.82016,9795.4272,43.78792,81.62856,0,31,0,31
